"title","sports","cooking","books","cinema","gaming"
"How to Train for a Marathon",0.8,0.05,0.05,0.05,0.05
"The Best Recipes for a Cozy Winter",0.05,0.8,0.05,0.05,0.05
"The Top 10 Books of 2023",0.05,0.05,0.8,0.05,0.05
"The Oscars 2023: Predictions and Controversies",0.05,0.05,0.05,0.8,0.05
"The Rise of Indie Games in the Gaming Industry",0.05,0.05,0.05,0.05,0.8
"How to Improve Your Golf Swing in 10 Easy Steps",0.7,0.1,0.1,0.05,0.05
"Vegan Baking: Tips and Tricks for Delicious Desserts",0.05,0.7,0.1,0.1,0.05
"Harry Potter: A Retrospective Review of the Beloved Series",0.1,0.1,0.7,0.05,0.05
"The Matrix 4: Everything You Need to Know Before Watching the Movie",0.1,0.1,0.05,0.7,0.05
"The Best Strategy Games for PC and Console in 2023",0.05,0.05,0.1,0.1,0.7
"How to Make Your Own Sushi at Home",0.05,0.8,0.05,0.05,0.05
"The Best Horror Movies of 2023",0.05,0.05,0.05,0.8,0.05
"The Benefits of Reading Every Day",0.05,0.05,0.8,0.05,0.05
"How to Win at Chess in 5 Moves or Less",0.05,0.05,0.1,0.1,0.7
"The Ultimate Guide to Yoga for Beginners",0.8,0.1,0.05,0.05,0.05
"The Most Anticipated Fantasy Novels of 2023",0.05,0.05,0.8,0.1,0.05
"The History and Evolution of Cinema",0.05,0.05,0.1,0.8,0.05
"The Secrets of Mastering the Art of Cooking",0.05,0.8,0.1,0.05,0.05
"The Best Sports Games for Mobile Devices in 2023",0.7,0.05,0.1,0.1,0.7
"The Lord of the Rings: A Classic Revisited in 2023",0,0,0.7,0.2,0.1
"How to Choose the Right Bike for Your Needs",0.8,0.05,0.05,0.05,0.05
"The Best Vegan Restaurants in Your City",0.05,0.8,0.05,0.05,0.05
"The Most Influential Science Fiction Writers of All Time",0.05,0.05,0.8,0.05,0.05
"Star Wars: The Rise and Fall of a Cultural Phenomenon",0.05,0.05,0.1,0.8,0.05
"How to Build Your Own Gaming PC in 2023",0.05,0.05,0.1,0.1,0.7
"How to Play Tennis Like a Pro",0.8,0.1,0.05,0.05,0.05
"The Ultimate Guide to Healthy Cooking",0.1,0.8,0.05,0.05,0.05
"How to Write a Bestselling Novel in 2023",0.1,0.1,0.8,0.05,0.05
"Marvel vs DC: Which Cinematic Universe is Better?",0.1,0.1,0.1,0.8,0.2
"How to Ski Like a Pro in 2023",0.8,0.05,0.05,0.05,0.05
"The Best Pizza Places in Your Area",0.05,0.8,0.05,0.05,0.05
"The Most Popular Romance Novels of 2023",0.05,0.05,0.8,0.05,0.05
"Avatar 2: The Long-Awaited Sequel to the Blockbuster Hit",0.05,0.05,0.1,0.8,0.05
"How to Master Fortnite in 2023",0.05,0.05,0.1,0.1,0.7
"How to Swim Faster and Better in 2023",0.8,0.1,0.05,0.05,0.05
"The Best Gluten-Free Recipes for 2023",0.1,0.8,0.05,0.05,0.05
"How to Read More Books in 2023",0.1,0.1,0.8,0.05,0.05
"How to Play Basketball Like a Pro in 2023",0.8,0.05,0.05,0.05,0.05
"The Best Indian Restaurants in Your City",0.05,0.8,0.05,0.05,0.05
"The Most Thrilling Mystery Novels of 2023",0.05,0.05,0.8,0.05,0.05
"Spider-Man: No Way Home - The Epic Conclusion to the Spider-Man Trilogy",0.05,0.05,0.1,0.8,0.05
"How to Beat the Hardest Levels in Candy Crush Saga in 2023",0.05,0.05,0.1,0.1,0.7
"How to Do Yoga Like a Pro in 2023",0.8,0.1,0.05,0.05,0.05
"The Best Mexican Recipes for 2023",0.1,0.8,0.05,0.05,0.05
"How to Play Soccer Like a Pro in 2023",0.8,0.05,0.05,0.05,0.05
"The Best Chinese Recipes for 2023",0.05,0.8,0.05,0.05,0.05
"The Most Amazing Fantasy Novels of 2023",0.05,0.05,0.8,0.05,0.05
"Fast and Furious 10: The Final Ride of the Legendary Franchise",0.05,0.05,0.1,0.8,0.05
"How to Play Roblox Like a Pro in 2023",0.05,0.05,0.1,0.1,0.7
